Name,Coordinates,Population
Tijucas,"-27.24139, -48.63361",22481
Propriá,"-10.21111, -36.84028",23786
Kokrajhar,"26.40107, 90.27286",31971
Bitam,"2.07597, 11.50065",33561
Antwerpen,"51.22047, 4.40026",529247
Cassilândia,"-19.11333, -51.73417",18497
Baran’,"54.4784, 30.3159",11600
San Pedro,"-26.6218, -54.10902",23736
Shizunai-furukawachō,"42.33389, 142.36694",22436
Murfatlar,"44.18333, 28.41667",10906
Bumbeşti-Jiu,"45.16667, 23.4",10445
Hanwang,"34.19444, 117.08333",47205
Yatou,"37.1566, 122.43762",91517
Puyang,"29.45679, 119.88872",3590000
Linfeng,"29.891, 107.21971",23868
Tailai,"46.39004, 123.40849",66623
Bago City,"10.53333, 122.83333",191210
Wanju,"35.84509, 127.14752",84009
Tshikapa,"-6.41621, 20.79995",634529
Prozor,"43.82222, 17.60917",10349
San Diego,"32.71571, -117.16472",1394928
Dudley,"42.0451, -71.93007",11165
Tarrytown,"41.07621, -73.85875",11560
Sukhothai,"17.00778, 99.823",37000
Vakhsh,"37.71485, 68.83456",15215
Vize,"41.57629, 27.76732",11027
